,anio,region,prov,mes,f_BIODIESEL
702,2012,7,19,4,0
703,2012,3,9,4,0
704,2012,1,4,4,0
705,2012,7,19,4,0
706,2012,3,9,4,1
707,2012,3,9,4,1
708,2012,7,6,4,0
709,2012,1,4,4,0
710,2012,7,18,4,0
711,2012,1,4,4,0
712,2012,0,0,4,0
713,2012,0,0,4,0
714,2012,3,9,4,0
715,2012,4,0,4,1
716,2012,4,0,4,1
717,2012,1,4,4,0
718,2012,4,0,4,1
719,2012,4,0,4,1
720,2012,6,10,4,0
721,2012,7,19,4,0
722,2012,3,14,4,0
723,2012,8,3,4,0
724,2012,8,3,4,0
725,2012,1,4,4,0
726,2012,7,18,4,0
727,2012,2,12,4,0
728,2012,7,6,4,0
729,2012,3,14,4,0
730,2012,2,12,4,0
731,2012,3,14,4,1
732,2012,5,17,4,0
733,2012,3,14,4,0
734,2012,3,14,4,0
735,2012,3,9,4,0
736,2012,5,0,4,1
737,2012,1,4,4,0
738,2012,7,13,4,0
739,2012,5,17,4,1
740,2012,7,13,4,0
741,2012,3,14,4,0
742,2012,5,0,5,1
743,2012,5,0,5,1
744,2012,8,3,5,0
745,2012,7,8,5,0
746,2012,3,9,5,0
747,2012,7,19,5,0
748,2012,1,4,5,0
749,2012,3,9,5,0
750,2012,1,4,5,0
751,2012,1,4,5,0
752,2012,2,12,5,0
753,2012,2,12,5,0
754,2012,3,9,5,0
755,2012,3,14,5,0
756,2012,8,3,5,0
757,2012,7,19,5,0
758,2012,3,9,5,0
759,2012,1,4,5,0
760,2012,3,14,5,0
761,2012,3,14,5,0
762,2012,3,14,5,0
763,2012,7,19,5,0
764,2012,3,9,5,1
765,2012,3,9,5,1
766,2012,7,6,5,0
767,2012,1,4,5,0
768,2012,7,18,5,0
769,2012,1,4,5,0
770,2012,0,0,5,0
771,2012,0,0,5,0
772,2012,3,9,5,0
773,2012,4,0,5,1
774,2012,4,0,5,1
775,2012,1,4,5,0
776,2012,4,0,5,1
777,2012,4,0,5,1
778,2012,6,10,5,0
779,2012,7,19,5,0
780,2012,3,14,5,0
781,2012,8,3,5,0
782,2012,8,3,5,0
783,2012,1,4,5,0
784,2012,7,18,5,0
785,2012,2,12,5,0
786,2012,7,6,5,0
787,2012,3,14,5,0
788,2012,2,12,5,0
789,2012,3,14,5,1
790,2012,5,17,5,0
791,2012,3,14,5,0
792,2012,3,14,5,0
793,2012,4,0,5,0
794,2012,3,9,5,0
795,2012,5,0,5,1
796,2012,1,4,5,0
797,2012,7,13,5,0
798,2012,5,17,5,1
799,2012,7,13,5,0
800,2012,3,14,5,0
801,2012,5,0,6,1
802,2012,5,0,6,1
803,2012,8,3,6,0
804,2012,7,8,6,0
805,2012,3,9,6,0
806,2012,7,19,6,0
807,2012,1,4,6,0
808,2012,3,9,6,0
809,2012,1,4,6,0
810,2012,1,4,6,0
811,2012,2,12,6,0
812,2012,2,12,6,0
813,2012,3,9,6,0
814,2012,3,14,6,0
815,2012,8,3,6,0
816,2012,7,19,6,0
817,2012,3,9,6,0
818,2012,1,4,6,0
819,2012,3,14,6,0
820,2012,3,14,6,0
821,2012,3,14,6,0
822,2012,7,19,6,0
823,2012,3,9,6,1
824,2012,3,9,6,1
825,2012,7,6,6,0
826,2012,1,4,6,0
827,2012,7,18,6,0
828,2012,1,4,6,0
829,2012,0,0,6,0
830,2012,0,0,6,0
831,2012,3,9,6,0
832,2012,4,0,6,1
833,2012,4,0,6,1
834,2012,1,4,6,0
835,2012,4,0,6,1
836,2012,4,0,6,1
837,2012,6,10,6,0
838,2012,7,19,6,0
839,2012,3,14,6,0
840,2012,8,3,6,0
841,2012,8,3,6,0
842,2012,1,4,6,0
843,2012,7,18,6,0
844,2012,2,12,6,0
845,2012,7,6,6,0
846,2012,3,14,6,0
847,2012,2,12,6,0
848,2012,3,14,6,1
849,2012,5,17,6,0
850,2012,3,14,6,0
851,2012,3,14,6,0
852,2012,4,0,6,0
853,2012,3,9,6,0
854,2012,5,0,6,1
855,2012,1,4,6,0
856,2012,7,13,6,0
857,2012,5,17,6,1
858,2012,7,13,6,0
859,2012,3,14,6,0
860,2012,5,0,7,1
861,2012,5,0,7,1
862,2012,8,3,7,0
863,2012,7,8,7,0
864,2012,3,9,7,0
865,2012,7,19,7,0
866,2012,1,4,7,0
867,2012,3,9,7,0
868,2012,1,4,7,0
869,2012,1,4,7,0
870,2012,2,12,7,0
871,2012,2,12,7,0
872,2012,3,9,7,0
873,2012,3,14,7,0
874,2012,8,3,7,0
875,2012,7,19,7,0
876,2012,3,9,7,0
877,2012,1,4,7,0
878,2012,3,14,7,0
879,2012,3,14,7,0
880,2012,3,14,7,0
881,2012,7,19,7,0
882,2012,3,9,7,1
883,2012,3,9,7,1
884,2012,7,6,7,0
885,2012,1,4,7,0
886,2012,7,18,7,0
887,2012,1,4,7,0
888,2012,0,0,7,0
889,2012,0,0,7,0
890,2012,3,9,7,0
891,2012,4,0,7,1
892,2012,4,0,7,1
893,2012,1,4,7,0
894,2012,4,0,7,1
895,2012,4,0,7,1
896,2012,6,10,7,0
897,2012,7,19,7,0
898,2012,3,14,7,0
899,2012,8,3,7,0
900,2012,8,3,7,0
901,2012,1,4,7,0
902,2012,7,18,7,0
903,2012,2,12,7,0
904,2012,7,6,7,0
905,2012,3,14,7,0
906,2012,2,12,7,0
907,2012,3,14,7,1
908,2012,5,17,7,0
909,2012,3,14,7,0
910,2012,3,14,7,0
911,2012,4,0,7,0
912,2012,3,9,7,0
913,2012,5,0,7,1
914,2012,1,4,7,0
915,2012,7,13,7,0
916,2012,5,17,7,1
917,2012,7,13,7,0
918,2012,3,14,7,0
919,2012,5,0,8,1
920,2012,5,0,8,1
921,2012,8,3,8,0
922,2012,7,8,8,0
923,2012,3,9,8,0
924,2012,7,19,8,0
925,2012,1,4,8,0
926,2012,3,9,8,0
927,2012,1,4,8,0
928,2012,1,4,8,0
929,2012,2,12,8,0
930,2012,2,12,8,0
931,2012,3,9,8,0
932,2012,3,14,8,0
933,2012,8,3,8,0
934,2012,4,0,8,1
935,2012,4,0,8,1
936,2012,7,19,8,0
937,2012,3,9,8,0
938,2012,1,4,8,0
939,2012,3,14,8,0
940,2012,3,14,8,0
941,2012,3,14,8,0
942,2012,7,19,8,0
943,2012,3,9,8,1
944,2012,3,9,8,1
945,2012,7,6,8,0
946,2012,1,4,8,0
947,2012,7,18,8,0
948,2012,1,4,8,0
949,2012,0,0,8,0
950,2012,0,0,8,0
951,2012,3,9,8,0
952,2012,4,0,8,1
953,2012,4,0,8,1
954,2012,1,4,8,0
955,2012,4,0,8,1
956,2012,4,0,8,1
957,2012,6,10,8,0
958,2012,7,19,8,0
959,2012,3,14,8,0
960,2012,8,3,8,0
961,2012,8,3,8,0
962,2012,1,4,8,0
963,2012,7,18,8,0
964,2012,2,12,8,0
965,2012,7,6,8,0
966,2012,3,14,8,0
967,2012,2,12,8,0
968,2012,3,14,8,1
969,2012,5,17,8,0
970,2012,3,14,8,0
971,2012,3,14,8,0
972,2012,4,0,8,0
973,2012,3,9,8,0
974,2012,5,0,8,1
975,2012,1,4,8,0
976,2012,7,13,8,0
977,2012,5,17,8,1
978,2012,7,13,8,0
979,2012,3,14,8,0
980,2012,5,0,9,1
981,2012,5,0,9,1
982,2012,8,3,9,0
983,2012,7,8,9,0
984,2012,3,9,9,0
985,2012,7,19,9,0
986,2012,1,4,9,0
987,2012,3,9,9,0
988,2012,1,4,9,0
989,2012,1,4,9,0
990,2012,2,12,9,0
991,2012,2,12,9,0
992,2012,3,9,9,0
993,2012,3,14,9,0
994,2012,8,3,9,0
995,2012,4,0,9,1
996,2012,4,0,9,1
997,2012,7,19,9,0
998,2012,3,9,9,0
999,2012,1,4,9,0
1000,2012,3,14,9,0
1001,2012,3,14,9,0
1002,2012,3,14,9,0
1003,2012,7,19,9,0
1004,2012,3,9,9,1
1005,2012,3,9,9,1
1006,2012,7,6,9,0
1007,2012,1,4,9,0
1008,2012,7,18,9,0
1009,2012,1,4,9,0
1010,2012,0,0,9,0
1011,2012,0,0,9,0
1012,2012,3,9,9,0
1013,2012,4,0,9,1
1014,2012,4,0,9,1
1015,2012,1,4,9,0
1016,2012,4,0,9,1
1017,2012,4,0,9,1
1018,2012,6,10,9,0
1019,2012,7,19,9,0
1020,2012,3,14,9,0
1021,2012,8,3,9,0
1022,2012,8,3,9,0
1023,2012,1,4,9,0
1024,2012,7,18,9,0
1025,2012,2,12,9,0
1026,2012,7,6,9,0
1027,2012,3,14,9,0
1028,2012,2,12,9,0
1029,2012,3,14,9,1
1030,2012,5,17,9,0
1031,2012,3,14,9,0
1032,2012,3,14,9,0
1033,2012,4,0,9,0
1034,2012,3,9,9,0
1035,2012,5,0,9,1
1036,2012,1,4,9,0
1037,2012,7,13,9,0
1038,2012,5,17,9,1
1039,2012,7,13,9,0
1040,2012,3,14,9,0
1041,2012,5,0,10,1
1042,2012,5,0,10,1
1043,2012,8,3,10,0
1044,2012,7,8,10,0
1045,2012,3,9,10,0
1046,2012,7,19,10,0
1047,2012,1,4,10,0
1048,2012,3,9,10,0
1049,2012,1,4,10,0
1050,2012,1,4,10,0
1051,2012,2,12,10,0
1052,2012,2,12,10,0
1053,2012,3,9,10,0
1054,2012,3,14,10,0
1055,2012,8,3,10,0
1056,2012,4,0,10,1
1057,2012,4,0,10,1
1058,2012,7,19,10,0
1059,2012,3,9,10,0
1060,2012,1,4,10,0
1061,2012,3,14,10,0
1062,2012,3,14,10,0
